Clock Cycle,Probability
0,0.0
1,0.20758606472892188
2,0.5743145743145743
3,0.8133374561945991
4,0.9057926200783344
5,0.9578437435580293
6,0.9820655534941249
7,0.9907235621521335
8,0.9956709956709957
9,0.9976293547722119
10,0.9991754277468563
11,0.9998969284683571
12,0.9998969284683571
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
